node_id,wse_ref_raw,wse_mad,width_med,n_obs,dist_out_km,river,wse_ref
81340100070181,7.515140000000001,0.45671500000000087,591.3993515,96,94.37215312581384,Noatak,7.55314
81340100070191,7.62794,0.48367000000000004,437.605889,95,94.56501488501826,Noatak,7.62794
81340100070201,7.65923,0.4328500000000002,580.607078,93,94.76436565383716,Noatak,7.65923
81340100070211,7.81477,0.41710000000000047,530.959201,95,94.96018218819421,Noatak,7.81477
81340100070221,7.8842,0.38151000000000046,394.880259,93,95.17378854059352,Noatak,7.8842
81340100070231,7.947335000000001,0.4605150000000009,584.599987,94,95.37343078389074,Noatak,7.947335000000001
81340100070241,8.17163,0.5677650000000005,794.6531239999999,88,95.57251150747453,Noatak,8.17163
81340100070251,8.45153,0.52441,845.8193615,88,95.77502058961377,Noatak,8.40688
81340100070261,8.40688,0.468939999999999,641.344088,89,95.97358300248256,Noatak,8.45153
81340100070271,8.61165,0.4832199999999993,684.134658,87,96.1860270744408,Noatak,8.61165
81340100070281,8.841474999999999,0.4301750000000011,463.110025,86,96.38287206994445,Noatak,8.841474999999999
81340100070291,8.95899,0.47999999999999954,341.3873175,86,96.56747034225577,Noatak,8.95899
81340100070301,9.01824,0.4324099999999991,501.427759,85,96.76138219278313,Noatak,9.01824
81340100070311,9.19565,0.40012000000000114,531.329167,85,96.97562280426764,Noatak,9.19565
81340100070321,9.334655,0.3924500000000002,783.927456,86,97.17761166700896,Noatak,9.334655
81340100070331,9.42862,0.4109999999999996,676.509138,85,97.36683475674498,Noatak,9.42862
81340100070341,9.58915,0.32961500000000044,517.4392295,84,97.57107957858615,Noatak,9.532620000000001
81340100070351,9.532620000000001,0.3876550000000005,838.7366505,92,97.77157070764854,Noatak,9.58915
81340100070361,9.746935,0.39437500000000014,689.645621,86,97.9720823912896,Noatak,9.746935
81340100070371,9.9909,0.34253,661.037585,85,98.17360698428008,Noatak,9.9909
81340100070381,10.16362,0.3979999999999997,995.285596,85,98.37148209698368,Noatak,10.16362
81340100070391,10.24723,0.34010999999999925,447.301676,89,98.5632596802906,Noatak,10.24723
81340100070401,10.33434,0.4116699999999991,470.952024,87,98.76334338581347,Noatak,10.33434
81340100070411,10.35143,0.42074999999999996,637.848918,85,98.97896334167496,Noatak,10.35143
81340100070421,10.52012,0.34236999999999895,565.267686,85,99.18761482843797,Noatak,10.52012
81340100070431,10.56995,0.4316900000000006,391.579176,86,99.37865879306749,Noatak,10.56995
81340100070441,10.68999,0.5053800000000006,185.402314,87,99.57219204421209,Noatak,10.652455
81340100070451,10.652455,0.45816999999999997,301.511607,84,99.78277112551066,Noatak,10.68999
81340100070461,10.69693,0.4980899999999995,386.34395500000005,86,99.98684747963704,Noatak,10.69693
81340100070471,10.78909,0.4659499999999994,443.390062,87,100.1803945540538,Noatak,10.78909
81340100070481,10.89221,0.46109000000000044,592.963097,89,100.3752790257489,Noatak,10.89221
81340100070491,11.11037,0.4374300000000009,681.121671,85,100.57864541268302,Noatak,11.11037
81340100070501,11.249825000000001,0.415379999999999,676.487865,84,100.77664524767295,Noatak,11.249825000000001
81340100070511,11.49116,0.4371950000000009,1142.715199,82,100.97312142436068,Noatak,11.47842
81340100070521,11.47842,0.33033,731.705275,81,101.17961245599666,Noatak,11.49116
81340100070531,11.819645,0.36764500000000044,428.524434,80,101.38000396775057,Noatak,11.72963
81340100070541,11.90978,0.2645999999999997,267.23346,81,101.57343587869117,Noatak,11.819645
81340100070551,11.72963,0.48643000000000036,307.026945,79,101.77624121225294,Noatak,11.88649
81340100070561,11.88649,0.37522000000000055,343.597062,79,101.98068148311506,Noatak,11.90978
81340100070571,12.018445,0.33766499999999944,576.976277,78,102.18587133834843,Noatak,12.018445
81340100070581,12.15129,0.35006999999999966,856.30948,78,102.38865540518886,Noatak,12.15129
81340100070591,12.36877,0.37154999999999916,745.471539,78,102.58109669125272,Noatak,12.366855
81340100070601,12.366855,0.3784300000000007,601.082099,78,102.78312311440496,Noatak,12.36877
81340100070611,12.606345000000001,0.32197499999999923,796.7643840000001,78,102.97944073334087,Noatak,12.606345000000001
81340100070621,12.73704,0.3341600000000007,582.7512234999999,80,103.18559811060227,Noatak,12.73704
81340100070631,12.7931,0.3156100000000013,927.255371,81,103.38200248745878,Noatak,12.7931
81340100070641,13.02103,0.35091499999999964,365.548822,80,103.58060303188893,Noatak,13.02103
81340100070651,13.11456,0.396745000000001,496.6149125,82,103.78895661031747,Noatak,13.11456
81340100070661,13.14108,0.33443999999999896,491.513065,79,103.97091717967152,Noatak,13.14108
81340100070671,13.17566,0.33366000000000007,667.174371,81,104.16336427580904,Noatak,13.17566
81340100070681,13.36352,0.3368500000000001,657.171277,79,104.37330963589402,Noatak,13.31343
81340100070691,13.31343,0.23512000000000022,503.680121,79,104.57370523498419,Noatak,13.36352
81340100070701,13.53726,0.2772100000000002,412.530899,80,104.76970815760784,Noatak,13.53726
81340100070711,13.72538,0.40864999999999974,437.919264,83,104.98686314154014,Noatak,13.72538
81340100070721,13.86898,0.3460200000000011,581.919545,83,105.19742900302744,Noatak,13.86898
81340100070731,13.998955,0.31942999999999966,711.0581984999999,82,105.38006639785281,Noatak,13.998955
81340100070741,14.155495,0.36790000000000056,351.0569015,84,105.58189142136015,Noatak,14.155495
81340100070751,14.30716,0.3263499999999997,445.236765,83,105.77932379532209,Noatak,14.30716
81340100070761,14.36899,0.48503000000000007,675.270788,73,105.96806642637483,Noatak,14.36899
81340100070771,14.54682,0.41472000000000087,392.076751,75,106.18370946701783,Noatak,14.54682
81340100070781,14.6566,0.35861000000000054,339.111887,75,106.3806208406084,Noatak,14.6566
81340100070791,14.73193,0.3576499999999996,349.672341,75,106.58361371334956,Noatak,14.73193
81340100070801,14.90178,0.5052250000000003,1040.507435,74,106.7858299874758,Noatak,14.90178
81340100070811,14.93422,0.45881999999999934,657.663086,75,106.96900063860568,Noatak,14.93422
81340100070821,14.93454,0.3678100000000004,463.034787,73,107.16516278921112,Noatak,14.93454
81340100070831,14.994115,0.38463000000000136,419.71060850000003,68,107.38254478554379,Noatak,14.93472
