time,chl,n_valid,region
2021-11-12 12:00:00,,0,Hotham Inlet
2021-11-19 12:00:00,,0,Hotham Inlet
2021-11-26 12:00:00,,0,Hotham Inlet
2021-12-03 12:00:00,,0,Hotham Inlet
2021-12-10 12:00:00,,0,Hotham Inlet
2021-12-17 12:00:00,,0,Hotham Inlet
2021-12-24 12:00:00,,0,Hotham Inlet
2022-01-03 12:00:00,,0,Hotham Inlet
2022-01-08 12:00:00,,0,Hotham Inlet
2022-01-15 12:00:00,,0,Hotham Inlet
2022-01-22 12:00:00,,0,Hotham Inlet
2022-01-29 12:00:00,,0,Hotham Inlet
2022-02-05 12:00:00,,0,Hotham Inlet
2022-02-12 12:00:00,,0,Hotham Inlet
2022-02-19 12:00:00,,0,Hotham Inlet
2022-02-26 12:00:00,,0,Hotham Inlet
2022-03-05 12:00:00,,0,Hotham Inlet
2022-03-12 12:00:00,,0,Hotham Inlet
2022-03-19 12:00:00,,0,Hotham Inlet
2022-03-26 12:00:00,,0,Hotham Inlet
2022-04-02 12:00:00,,0,Hotham Inlet
2022-04-09 12:00:00,,0,Hotham Inlet
