river,time,span_km,n_nodes,d_lo,d_hi,length_km
Selawik,2023-06-04 01:57:09+00:00,135.08383722594812,54,54.38094570447424,67.84686922038838,13.465923515914142
Selawik,2023-06-04 01:57:09+00:00,135.08383722594812,66,68.23331682878808,82.44078347586172,14.207466647073645
Selawik,2023-06-04 01:57:09+00:00,135.08383722594812,20,84.82368315975889,88.80094831049897,3.977265150740081
Selawik,2023-06-04 01:57:09+00:00,135.08383722594812,61,93.38064323140856,108.16413961786094,14.783496386452384
Selawik,2023-06-05 01:47:47+00:00,132.48280784320042,11,34.00548818392518,36.38711815546909,2.3816299715439087
Selawik,2023-06-05 01:47:47+00:00,132.48280784320042,35,44.259390050053696,51.60498873402513,7.345598683971431
Selawik,2023-06-05 01:47:47+00:00,132.48280784320042,19,54.38094570447424,58.38211022066417,4.001164516189924
Selawik,2023-06-05 01:47:47+00:00,132.48280784320042,13,59.19308424272813,63.025806687969265,3.8327224452411315
Selawik,2023-06-05 01:47:47+00:00,132.48280784320042,10,65.24261198013315,67.44896164529862,2.206349665165476
Selawik,2023-06-05 01:47:47+00:00,132.48280784320042,48,68.43760039913428,80.4473257963444,12.009725397210119
Selawik,2023-06-05 01:47:47+00:00,132.48280784320042,13,83.04131425754224,86.42697402100065,3.3856597634584062
Selawik,2023-06-06 01:38:25+00:00,135.89286318608575,32,29.994448241469446,37.61093309977441,7.616484858304961
Selawik,2023-06-06 01:38:25+00:00,135.89286318608575,30,44.259390050053696,51.60498873402513,7.345598683971431
Selawik,2023-06-06 01:38:25+00:00,135.89286318608575,23,52.17980380436631,56.97174521616361,4.791941411797303
Selawik,2023-06-06 01:38:25+00:00,135.89286318608575,19,75.85529381729334,79.64710113163243,3.7918073143390814
Selawik,2023-09-02 11:50:22+00:00,151.87188308141347,12,16.54962137281664,24.809805961881175,8.260184589064533
Selawik,2023-09-02 11:50:22+00:00,151.87188308141347,18,76.2493129283576,79.64710113163243,3.3977882032748283
Selawik,2023-09-07 18:56:02+00:00,122.04416055007593,31,46.6430285983141,53.97595433134205,7.332925733027949
Selawik,2023-09-07 18:56:02+00:00,122.04416055007593,41,54.38094570447424,64.2249579662031,9.844012261728864
